User Rating Count,Size,Subtitle_Available,Free_Price,Age_Rating,Description_Length,Genres_Count,Language_EN,Languages_Count,In_App_Count,In_App_Max
615.0,8312661.0,0,1,4,1561,4,1,3,1,0.99
8.0,153079808.0,1,0,9,2579,4,1,6,0,0.0
65.0,49082368.0,0,1,9,1787,4,1,1,10,4.99
14.0,260954112.0,1,1,4,462,4,1,10,2,19.99
4955.0,93346816.0,1,0,4,1334,5,1,1,4,2.99
41.0,11423911.0,0,0,4,1310,4,1,1,0,0.0
272.0,20567040.0,1,0,4,740,3,1,1,0,0.0
1148.0,176768000.0,0,1,9,2410,3,1,5,7,49.99
8.0,15506432.0,1,1,4,1527,4,1,1,0,0.0
434.0,140485632.0,1,1,17,2369,4,1,1,10,19.99
33.0,172102656.0,0,1,9,2583,3,1,7,10,99.99
11.0,26868736.0,0,0,12,697,3,1,1,0,0.0
28.0,38686720.0,0,1,4,276,5,1,1,0,0.0
14.0,134028288.0,0,1,4,565,4,1,1,1,11.99
142.0,213928960.0,0,1,12,2912,2,1,8,7,99.99
13.0,56154112.0,1,1,4,1409,5,1,1,1,1.49
7.0,1530880.0,0,0,4,652,4,1,1,0,0.0
10.0,280867840.0,1,0,12,896,4,1,1,0,0.0
164.0,140418048.0,1,1,4,4024,5,1,1,10,9.99
10336.0,80936960.0,0,1,9,1355,3,1,4,10,4.99
19146.0,298316800.0,1,1,4,2309,4,1,12,12,9.99
39.0,53236736.0,1,1,9,855,3,1,1,2,0.99
48.0,45434880.0,0,1,9,1894,3,1,1,9,4.99
91.0,30650368.0,0,1,4,377,4,1,1,1,2.99
48842.0,1413419008.0,1,1,9,2019,4,1,46,10,99.99
241.0,81979392.0,1,1,4,3058,3,1,1,2,4.99
32.0,1292742656.0,0,0,4,1493,4,1,2,10,0.99
6.0,3134464.0,0,0,4,502,4,1,1,0,0.0
8.0,23330816.0,0,1,4,494,3,1,1,0,0.0
6.0,7570432.0,0,1,17,314,4,1,1,5,0.99
847.0,995328.0,0,0,4,638,4,1,1,0,0.0
55.0,1337588736.0,1,1,4,402,4,1,1,0,0.0
27.0,21647360.0,0,1,4,445,3,1,1,1,0.99
47.0,6994639.0,0,1,4,177,2,1,1,0,0.0
5.0,18412597.0,0,1,4,751,3,1,1,7,5.99
142.0,45227008.0,0,1,9,396,3,1,1,10,9.99
12.0,260177920.0,0,1,9,486,3,1,1,0,0.0
